pdf_filename,figure_filename,caption,plot_type,generated_annotation
026_2505.20322v1_Beyond Prompt Engineering Robust Behavior Control in LLMs via Steering   Target Atoms.pdf,026_2505.20322v1_Figure3.png,The impact of data size on the detoxification performance of the steering vector on Gemma-2-9B-pt. “Real” is an abbreviation for RealToxicPrompts dataset.,Line Plot,"The line plot illustrates the relationship between data size for steering vectors and the defense rate. The x-axis, labeled ""Data Size for Steering Vector,"" uses a logarithmic scale with values ranging from \(2^2\) to \(2^{12}\), with tick labels at increasing powers of two. The y-axis is labeled ""Defense Rate"" and utilizes a linear scale ranging from 50 to 100, with tick labels placed every 10 units. Four lines are depicted in the plot. The blue line with circular markers, representing ""STA on SafeEdit,"" has a solid style and begins at approximately 80 at \(2^2\), ending around 90 at \(2^{12}\), showing a general upward trend. The orange line, denoting ""STA on Real,"" has circular markers and a solid style, starting around 75 at \(2^2\) and finishing close to 85 at \(2^{12}\), demonstrating a steady increase. The green line with diamond markers, indicating ""CAA on SafeEdit,"" is dashed and begins near 70 at \(2^2\), rising to about 87 at \(2^{12}\), with small fluctuations. The red line, representing ""CAA on Real"" with diamond markers in a dashed style, initiates at about 68 at \(2^2\) and ends slightly above 80 at \(2^{12}\), indicating a gradual upward trend with minor oscillations."
026_2505.20322v1_Beyond Prompt Engineering Robust Behavior Control in LLMs via Steering   Target Atoms.pdf,026_2505.20322v1_Figure4.png,: The boundary of steering.,Line Plot,"The plot illustrates the relationship between ""Multiplier"" and ""Defense Rate"" and ""Fluency"" using multiple lines for different data sets. The x-axis is labeled ""Multiplier,"" uses a linear scale, and covers a range from -10 to 10 with tick marks at intervals of 2. The primary y-axis is labeled ""Defense Rate,"" also using a linear scale, ranging from 0 to 100, with tick marks at intervals of 20. There is a secondary y-axis labeled ""Fluency,"" ranging from 0 to 6, with unspecified intervals. There are five lines in total. 

The first line, representing the ""Defense Rate of STA,"" is depicted in blue with solid circles. It begins around 50 at a multiplier of -10 and ends at approximately 80 at a multiplier of 10, showing fluctuations with a peak near a multiplier of 5. The second line, the ""Defense Rate of CAA,"" is shown in green with dashed lines and diamond markers. It starts at about 90, decreases to a low of 40 around a multiplier of -7, rises to 90 again by 10. The third line, for the ""Defense Rate of Gemma-2-9B-it,"" is gray and dot-dash styled with no markers, starting and ending slightly above 80 across the entire x-axis range, remaining relatively stable. The fourth line, ""Fluency of STA,"" is orange with a solid line and circles. It starts around 4 at -10, peaks near 5 at 0, and decreases to nearly 2 at 10. Finally, the ""Fluency of CAA"" line is red with a dashed line and diamond markers. It starts near 3 at -10, peaks near 4.5 at 0, and falls to below 1 at 10."
026_2505.20322v1_Beyond Prompt Engineering Robust Behavior Control in LLMs via Steering   Target Atoms.pdf,026_2505.20322v1_Figure5.png,: The boundary of prompting.,Line Plot,"The plot illustrates the relationship between ""n_shot"" and both ""Defense Rate"" and ""Fluency."" The x-axis is labeled ""n_shot,"" with a logarithmic scale ranging from \(2^1\) to \(2^4\), and tick labels appearing at double intervals (\(2^1\), \(2^2\), \(2^3\), \(2^4\)). The left y-axis represents ""Defense Rate"" with a linear scale from 0 to 100, with tick labels at intervals of 20. The right y-axis represents ""Fluency"" with a linear scale from 0 to 6 and tick labels at intervals of 1. The red solid line, marked with circles, represents the ""Defense Rate Of Positive Control,"" starting from approximately 80 at \(2^1\), peaking slightly above 80 at \(2^2\), decreasing back to near 80 at \(2^3\), and rising slightly above 80 at \(2^4\). The orange solid line with circles depicts the ""Defense Rate Of Negative Control,"" beginning around 60 at \(2^1\), rising to just above 80 at \(2^2\), decreasing to about 75 at \(2^3\), and then falling to approximately 50 at \(2^4\). The gray dashed line shows ""Defense Rate of Gemma-2-9B-it"" staying constant at 64 across all x values. The green dashed line with diamonds represents ""Fluency Of Positive Control,"" which remains constant at 4 across the x-axis. Lastly, the blue dashed line with diamonds indicates ""Fluency Of Negative Control,"" consistently positioned at 5 throughout the range of \(n_shot\)."
027_2505.15695v1_Can Large Language Models be Effective Online Opinion Miners.pdf,027_2505.15695v1_Figure6.png,Comparison of the OIG task performance between content-only input and input with gold tuples. Automated metric performance by model (Left) and human evaluation of outputs (Right). Detailed human evaluation is presented in Appendix <ref>.,Bar Chart,"The bar chart illustrates the impact of structured opinions on summary performance using two different metrics: A3CU and Human-Evaluated Score. The horizontal axis categorizes different models and evaluation aspects with labels such as ""GPT-4o mini,"" ""GPT-4o,"" ""Claude Haiku,"" ""Claude Sonnet,"" ""Gemma2 27B,"" and ""Llama3 70B"" for the models, and ""Faith.,"" ""Covg.,"" ""Specif.,"" ""Insght.,"" ""Intnt.,"" and ""Flcy."" for the human-evaluated scores. The vertical axis represents the A3CU score for the left graph and Human-Evaluated Score for the right, with a linear scale. The A3CU score ranges from 25 to 50 with intervals of 5, while the Human-Evaluated Score ranges from 3.2 to 4.4 with intervals of 0.2. Bars are grouped into two series, ""Content Only"" in gray and ""Content with Gold Tuple"" in blue. For each model or evaluation aspect, the bars vary in height, with the tallest A3CU bar reaching approximately 45.3 (""GPT-4o mini"" with Gold Tuple) and the shortest around 31.8 (""Claude Haiku"" with Content Only). Similarly, for the Human-Evaluated Score, the highest bar is approximately 4.4 (""Flcy."" with Content Only) and the lowest around 3.7 (""Insght."" with Content Only). Bars are not sorted in a specific order and no additional visual emphasis is applied to any of the bars."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure4.png,Memory requirements of clustering algorithms at different sample sizes.,Line Plot,"The plot illustrates the relationship between memory usage and the number of samples. The x-axis is labeled ""Number of Samples,"" with a linear scale ranging from 0 to 200,000, marked at intervals of 25,000. The y-axis is labeled ""Memory Usage (GB),"" also using a linear scale, ranging from 0 to 750, with tick marks at intervals of 50 GB. The plot features a single red solid line with circle markers, which indicates an increasing trend of memory usage as the number of samples increases. The line begins at a point near (0, 0), progresses through notable points like (50,000, 100), (100,000, 200), and (150,000, 400), eventually reaching around (200,000, 750), showing a consistent and upward curving trend across the range."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure14.png,: IWSLT2017-zh-en (Word),Bar Chart,"The bar chart illustrates the performance metrics TPR, FPR, and F1 across different categories labeled as \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The horizontal axis contains these category labels, presented from left to right in the order of \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The vertical axis represents the values of the performance metrics, labeled with a range from 0.0 to 1.0 with a linear scale, and intervals are marked at every 0.2 units. Each category has three vertically arranged bars, representing TPR (green), FPR (red), and F1 (orange). In all categories, the TPR values are uniformly the highest, reaching approximately 1.0. The FPR values are noticeably smaller, consistently near the value of 0.0 across all categories. The F1 values vary, with the bar heights around 0.6 for \( p_1 \), decreasing for \( p_2 \), \( p_3 \), and BLEU-4, where they remain relatively similar and lower than the TPR values. There is no specific sorting of the bars by height, and no bars are visually emphasized beyond their distinct colors. The grouping of bars indicates three performance metrics measured uniformly across the four given categories, as clarified by the legend."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure15.png,: IWSLT2017-zh-en (Syntactic),Bar Chart,"The bar chart illustrates the performance measures for various metrics labeled \(p_1\), \(p_2\), \(p_3\), and BLEU-4, with each category represented on the horizontal axis. The horizontal axis features categorical labels for the metrics, ordered as \(p_1\), \(p_2\), \(p_3\), and BLEU-4. The vertical axis represents values with the label ranging from 0.0 to 1.0, with a linear scale and tick marks at intervals of 0.2. Each set of bars within a category is grouped, containing three distinct bars for TPR, FPR, and F1 colored green, red, and orange, respectively. For \(p_1\), the green TPR bar reaches a value close to 1.0, the red FPR bar is very short, slightly above 0.0, and the orange F1 bar is approximately 0.8. In \(p_2\), the green bar also reaches nearly 1.0, with a similarly short red bar and an orange bar around 0.75. Under \(p_3\), the green bar again reaches near 1.0, the red bar is short, and the orange bar is about 0.25. For BLEU-4, the green bar remains near 1.0, with a short red bar and an orange bar around 0.45. The bars are not sorted in any particular order, and no specific bars are visually emphasized beyond color distinctions provided by the legend, which indicates the color-coding scheme for TPR, FPR, and F1."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure16.png,: WMT18-zh-en (Combination),Bar Chart,"The bar chart illustrates the performance metrics for different models or configurations labeled as \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The horizontal axis contains the categories, with each category labeled accordingly from left to right. The vertical axis represents the value of the metrics, labeled without units, ranging from 0.0 to 1.0 with a linear scale and regular tick intervals of 0.2. The bars for each category are grouped and color-coded based on the legend: TPR is shown in green, FPR in red, and F1 in orange. In category \( p_1 \), the TPR bar is approximately 0.7, FPR is near 0.0, and F1 is around 0.8. For \( p_2 \), the TPR bar reaches the maximum value of 1.0, FPR is slightly above 0.0, and F1 is approximately 0.5. In \( p_3 \), the TPR bar again reaches 1.0, FPR is below 0.2, and F1 is slightly above 0.0. In the BLEU-4 category, the TPR remains at 1.0, FPR is just above 0.0, and F1 is approximately 0.3. The bars do not appear to be sorted in any specific order, and none are visually emphasized beyond the color-coding used to denote the different metrics."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure17.png,: CoQA (Word),Bar Chart,"The bar chart illustrates different metrics represented by the labels TPR, FPR, and F1 for categories labeled \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The horizontal axis contains the categories, labeled at intervals with these four names, while the vertical axis represents the values of the metrics, marked with a linear scale ranging from 0.0 to 1.0 with tick marks at intervals of 0.2. Each category contains three stacked bars, where the green bar represents TPR, the red bar represents FPR, and the orange bar represents F1. In terms of color and value for \( p_1 \), the TPR bar is green and reaches a height of 1.0, the FPR bar is red and reaches an approximate height of 0.05, and the F1 bar is orange, reaching approximately 0.8. For \( p_2 \), the TPR bar is green and again reaches a height of 1.0, while the F1 bar is orange, reaching a height of approximately 0.6, and the FPR bar is red with a height of about 0.05. The same green bars for TPR are consistent across \( p_3 \) and BLEU-4, each reaching 1.0. For \( p_3 \), the F1 bar is slightly lower than in \( p_2 \), and for BLEU-4, the orange F1 bar is smaller still. The FPR bars across all categories remain red and comparatively shorter than their corresponding green and orange bars. No particular sorting or visual emphasis such as bolding or annotation is applied to any specific category or set of bars."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure18.png,: CoQA (Syntactic),Bar Chart,"The bar chart illustrates the values of three metrics: TPR, FPR, and F1 for four different categories labeled \(p_1\), \(p_2\), \(p_3\), and BLEU-4. The horizontal axis contains these categories in a left-to-right order, while the vertical axis represents the value of the metrics with a scale ranging from 0.0 to 1.0. The vertical axis is labeled with evenly spaced intervals at 0.2 from 0.0 to 1.0. Each category contains three grouped bars representing the metrics: TPR, FPR, and F1. TPR is depicted in green, FPR in red, and F1 in orange. For the category \(p_1\), the green TPR bar reaches a value of approximately 1.0, the red FPR bar is around 0.1, and the orange F1 bar is close to 0.8. Similar patterns are observed across categories \(p_2\) and \(p_3\), with the green bars consistently reaching the top of the scale, red bars remaining low, and orange bars generally higher than the red but lower than the green bars. For the BLEU-4 category, TPR remains high in green, FPR is lower in red, and F1 is moderate in orange. The bars are not sorted in any specific order beyond the categorical labels, and none of the bars in particular appear visually emphasized beyond their standard coloring."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure19.png,: Caption not extracted,Bar Chart,"The bar chart illustrates three performance metrics (TPR, FPR, F1) for four different processes or conditions, labeled as \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The horizontal axis contains these category labels, arranged from left to right with a linear scale. The vertical axis represents the value of the metrics, labeled with a numeric scale ranging from 0.0 to 1.0, with tick marks at intervals of 0.2. Each set of bars is color-coded based on a legend: TPR is green, FPR is red, and F1 is orange. For each category \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4, the green bar (TPR) consistently reaches the maximum value of approximately 1.0, while the red bar (FPR) is shortest across categories, and the orange bar (F1) is of intermediate height. The bars within each category are not sorted by height. There is no indication of emphasis or annotation on any individual bar within the sets, and each bar within a group appears distinctly colored as per the legend, without overlapping."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure20.png,: Caption not extracted,Bar Chart,"The bar chart illustrates various performance metrics across four categories labeled \( p_1 \), \( p_2 \), \( p_3 \), and BLEU-4. The horizontal axis represents these four categories, each of which contains three bars. The vertical axis is labeled with numeric values in a linear scale ranging from 0.0 to 1.0, marked at intervals of 0.2. The chart includes three distinct metrics represented in grouped bars: TPR, FPR, and F1, specifically colored in green, red, and orange, respectively. In each category, the green bars representing TPR consistently reach an approximate value of 1.0, indicating they are the tallest. The red bars, representing FPR, have lower values approximately ranging from around 0.2 to 0.3. The orange bars, representing F1, vary more, reaching values slightly above 0.5 in the first two categories and slightly below in the last two. The bars are grouped by category, and no specific sorting is applied to the categories on the horizontal axis. The chart does not visually emphasize any bars, as they are uniformly presented without bolding, shading, or additional annotations. The legend located in the upper-left corner distinctly identifies each metric by color."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure21.png,: Caption not extracted,Bar Chart,"The bar chart illustrates several performance metrics for different predictions labeled as \(p_1\), \(p_2\), \(p_3\), and BLEU-4. The horizontal axis contains these categories, and the vertical axis represents the values of the metrics, labeled from 0.0 to 1.0, using a linear scale with a tick label interval of 0.2. Each category contains a grouped set of three bars, each representing a different metric: TPR (green), FPR (red), and F1 (orange), as indicated by the legend. These bars exhibit various heights, with TPR consistently reaching the maximum value of 1.0 across all categories. The FPR bars show lower values, approximately around 0.2 for \(p_1\) and BLEU-4, and slightly higher for \(p_2\) and \(p_3\). The F1 bars are consistently shorter than the TPR bars but taller than the FPR bars, with values slightly below the TPR values in each category. The bars are not sorted in any particular order and there are no additional visual emphases such as shading or bolding on any specific bars."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure22.png,: Caption not extracted,Bar Chart,"The bar chart illustrates a comparison of three metrics (TPR, FPR, and F1) across four different categories labeled \(p_1\), \(p_2\), \(p_3\), and BLEU-4. The categories are represented on the horizontal axis, while the vertical axis represents the metric values, ranging from 0.0 to 1.0 with a linear scale and tick intervals of 0.2. Each category contains a set of three stacked bars, where TPR is shown in green, FPR in red, and F1 in orange. In the \(p_1\) category, the TPR bar reaches a height of 1.0, FPR is approximately 0.1, and F1 is around 0.4. Categories \(p_2\) and \(p_3\) display similar patterns with TPR at 1.0, FPR near 0.2, and F1 hovering slightly above 0.4. For BLEU-4, TPR also reaches 1.0, FPR is slightly below 0.2, and F1 maintains a similar height to the other categories. Bars are not specifically sorted in any apparent order, and there is no visual emphasis on any particular bar apart from the color coding indicated by the legend."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure25.png,: WMT18-zh-en (Combination),Bar Chart,"The bar chart illustrates the frequency distribution of sample confidence for two different categories, labeled as ""Clean Sample"" and ""Backdoor Sample."" The horizontal axis contains the categories and is labeled as ""Sample Confidence,"" with values ranging from 0 to 100 on a linear scale, marked at intervals of 10. The vertical axis represents the ""Frequency,"" presented on a logarithmic scale, with values ranging from 10^-5 to 10^0. The bars are colored green for the ""Clean Sample"" and red for the ""Backdoor Sample,"" as indicated in the legend. In terms of arrangement, the bars are juxtaposed for each confidence value, demonstrating the distribution for both sample types simultaneously. The shortest bars are at 10^-5, while the tallest reaches approximately 10^0. The bars are not explicitly sorted in any particular order, aside from the natural sequence of confidence values. There are no visually emphasized bars evident in the chart through shading or outlining."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure27.png,: CoQA (Syntactic),Bar Chart,"The bar chart illustrates the frequency distribution of sample confidence for two categories: Clean Sample and Backdoor Sample. The horizontal axis contains the categories labeled ""Sample Confidence,"" ranging from 0 to 100, with a linear scale. The vertical axis represents ""Frequency"" and uses a logarithmic scale, ranging from 10^-4 to 10^-1 with markings for 10^-4, 10^-3, 10^-2, and 10^-1. Each bar represents the frequency of samples within a specific confidence interval. The bars for Clean Sample are colored green, and the Backdoor Sample bars are colored red. Clean Sample bars are shown for the entire range, with heights decreasing as the confidence increases towards 100. Clean Sample bars start around a frequency of 10^-1 and decrease to around 10^-4. The Backdoor Sample bars are concentrated at the lower confidence values, with the tallest bars appearing close to zero and decreasing rapidly. There is no specific sorting pattern for the bars, and they are not visually emphasized through shading, bolding, or outlining. Each group of bars within the same confidence interval is placed adjacent to each other, with Clean Sample bars generally being taller across the confidence range. There are no specific annotations indicating further emphasis or interpretation."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure29.png,: Caption not extracted,Bar Chart,"The bar chart illustrates the distribution of sample confidence levels comparing two types of samples: Clean Sample and Backdoor Sample. The horizontal axis represents the sample confidence, labeled as ""Sample Confidence,"" and spans values from 0 to 100 with irregular intervals. The vertical axis indicates the frequency of each confidence level, labeled ""Frequency,"" with a logarithmic scale ranging from \(10^{-4}\) to \(10^{0}\). The chart contains two sets of bars distinguished by color: green for Clean Samples and red for Backdoor Samples. Each bar represents the frequency of a specific confidence level, with bars extending vertically from the baseline. The presented values show that Clean Samples have higher frequencies at specific confidence levels such as 0, 20, and 100, while Backdoor Samples have higher frequencies at lower confidence levels around 0 to 20. The legend at the top specifies the colors representing each sample type. There is no indication of sorting order for the bars, and no additional emphasis, such as shading or bolding, is applied to any specific bar or group."
029_2505.23015v1_Detecting Stealthy Backdoor Samples based on Intra-class Distance for   Large Language Models.pdf,029_2505.23015v1_Figure30.png,: Caption not extracted,Bar Chart,"The bar chart illustrates the frequency of samples with varying confidence levels, differentiated between clean and backdoor samples. The horizontal axis represents ""Sample Confidence,"" labeled from 0 to 100 with a linear scale, indicating different confidence intervals without specific tick marks. The vertical axis, labeled ""Frequency,"" uses a logarithmic scale ranging from \(10^{-4}\) to \(10^{0}\), with tick labels at regular intervals corresponding to powers of ten. Bars are colored either green for ""Clean Sample"" or red for ""Backdoor Sample,"" as indicated by the legend. Each bar represents a range of sample confidence, with the frequency shown by the relative height of the bar on the logarithmic scale. For clean samples, the green bars have varying heights across the confidence range but tend to be taller at extreme ends of the scale, particularly near confidence levels of 0 and 100. Conversely, red bars for backdoor samples are clustered towards the lower confidence range, notably peaking between the 0 to 20 confidence interval. No particular visual emphasis, such as shading or annotation, is given to any bar, and the bars display the data unsorted beyond the arrangement by the horizontal confidence axis."
037_2505.17098v1_TACO Enhancing Multimodal In-context Learning via Task Mapping-Guided   Sequence Configuration.pdf,037_2505.17098v1_Figure10.png,Visualization of the in-context lens for different methods under the Harder-Mapping setting.,Pie Chart,"The chart displays the distribution of different categories across layers for three models: IQPR, Lever-LM, and Ta-ICL. Each model is represented by four pie charts, corresponding to layers 12, 18, 24, and 30. Each pie chart is divided into four slices labeled as Deep, Shallow, Correct, and Wrong, depicted in red, orange, blue, and green respectively. The charts provide specific percentage values for each category. The IQPR model at layer 12 shows proportions of 18.5% Deep, 62.8% Shallow, 8.3% Correct, and 10.4% Wrong. As the layers progress to 18, 24, and 30, the distributions shift slightly, with layer 30 showing a noticeable increase in the Correct category to 62.4%. For the Lever-LM model, layer 12 has 16.9% Deep, 73.6% Shallow, 7.2% Correct, and 2.3% Wrong. By layer 30, the Correct category increases significantly to 66.7%. The Ta-ICL model also shows a similar trend where at layer 12, the categories are distributed as 19.3% Deep, 67.4% Shallow, 8.6% Correct, and 4.7% Wrong, while by layer 30, Correct reaches 70.9%. Each slice includes percentage labels and the segments are ordered roughly according to their size. A legend is provided below the charts to clarify the color coding of each category."
038_2505.00030v1_Can Language Models Represent the Past without Anachronism.pdf,038_2505.00030v1_Figure1.png,"The stylistic center of mass of prompted and period-pretrained models. Kernel density plots for ground truth passages drawn from books, 1905–1914, as well as continuations of those passages by GPT-4o (1-shot and 20-shot) and GPT-1914 (trained only on text 1880–1914).",Line Plot,"The plot illustrates the density distribution of passage continuations' publication years as perceived by a RoBERTa model trained on COHA. The x-axis represents the publication year, marked as ""Publication year of passage continuations, as perceived by a RoBERTa model trained on COHA,"" with a linear scale ranging from 1825 to 2025 and tick labels at intervals of 25 years. The y-axis is labeled ""Density,"" with a linear scale ranging from 0 to 0.025, with tick labels at intervals of 0.005. The plot contains four lines. The maroon line, labeled ""GPT-4o 1-shot,"" is represented by a dashed style and shows density mostly rising from near zero around 1825, peaking slightly above 0.020 around the year 2000, then decreasing sharply. The light blue line, ""GPT-4o 20-shot,"" also dashed, follows a similar trend, starting near zero, peaking just above 0.025 around 2000, and subsequently declining. The orange dotted line, ""GPT-1914,"" begins at a low density near 1825, peaks near 0.020 between 1900 and 1925, and then descends. The green solid line, ""Ground Truth,"" starts near zero, rises to a peak density below 0.015 around 1925, and gradually decreases thereafter."
038_2505.00030v1_Can Language Models Represent the Past without Anachronism.pdf,038_2505.00030v1_Figure2.png,"The stylistic center of mass of fine-tuned and period-pretrained models. Kernel density plots for ground truth passages drawn from books 1905–1914, as well as continuations of those passages by GPT-1914 and by a version of GPT-4o-mini fine-tuned on passages 1905–1914.",Line Plot,"The plot illustrates the density of publication years of passage continuations as perceived by a RoBERTa model trained on COHA, represented by three distinct lines. The x-axis is labeled ""Publication year of passage continuations, as perceived by a RoBERTa model trained on COHA"" and has a linear scale ranging from 1825 to 2025, with tick marks spaced at intervals of 25 years. The y-axis is labeled ""Density,"" also on a linear scale, with values ranging from 0.0000 to 0.0175, marked at intervals of 0.0025. The purple dashed line represents ""GPT-4o-mini fine-tuned,"" starting at approximately 0.0000 in 1825, peaking around 0.0125 between 1880 and 1925, then decreasing towards 0.0000 by 2025. The orange dotted line represents ""GPT-1914,"" beginning at approximately 0.0000 in 1825, peaking at about 0.0175 around 1900, then decreasing to near 0.0000 by 2025. The green solid line signifies ""Ground Truth,"" starting around 0.0000 in 1825, peaking near 0.0150 around the year 1900, and declining smoothly to approximately 0.0000 by 2025."
043_2505.13534v1_InterFeat An Automated Pipeline for Finding Interesting Hypotheses in   Structured Biomedical Data.pdf,043_2505.13534v1_Figure2.png,"Hierarchical clustering of recurring features across 8 disease targets. Features marked as ""interesting"" by the LLM annotation models were grouped into semantic categories. The number in each section is the number of times features in that group were judged as interesting by models across targets",Pie Chart,"The pie chart represents the distribution of various factors related to a study or dataset, encompassing a total of nine categories. The segments are labeled as follows: ""Blood/Urine Biomarkers,"" shown in purple, constitutes the largest portion at 178; ""Genetic Risk,"" in light blue, follows with 151; ""Disease Diagnoses,"" in violet, accounts for 148; ""Lifestyle & Environment,"" in pink, makes up 92; ""Mental Health,"" in light pink, encompasses 58; ""Medication & Interventions,"" in light green, includes 49; ""Clinical Measurements,"" in teal, comprises 26; ""Body Composition,"" in orange-red, and ""Socio-Demographics,"" in peach, both are 24; and ""Family History,"" in light orange, is the smallest at 13. Each slice is labeled with its category name and number directly inside. The chart does not include additional features such as a legend, slice emphasis, or an ordered arrangement based on size."
043_2505.13534v1_InterFeat An Automated Pipeline for Finding Interesting Hypotheses in   Structured Biomedical Data.pdf,043_2505.13534v1_Figure3.png,"A two-level hierarchical sunburst plot of the recurring features, in semantic clusters. The inner ring represents broad categories (e.g., Genetic Risk, Metabolic Markers, Disease Diagnoses), while the outer ring refines these into more specific subgroups. Features marked as ""interesting"" by the LLM annotation models were grouped into semantic categories. The number in each section indicates the count of times features in that group were judged as interesting by models across disease targets.",Pie Chart,"The pie chart represents various categories related to health factors. There are a total of 31 slices. The main slices and their approximate proportions are: ""Blood/Urine Biomarkers"" (dark green, 178), ""Genetic Risk"" (red, 151), ""Disease Diagnoses"" (green, 148), ""Lifestyles & Environment"" (orange, 92), ""Lipids & Cholesterol"" (light green, 93), ""Mental Health"" (blue, 58), ""Metabolites"" (lightest green, 60), ""Musculoskeletal"" (teal, 60), ""Cardiometabolic"" (peach, 40), ""Diet"" (cream, 45), ""Physical Environment"" (light orange, 38), and others continuing in various colors with smaller proportions such as ""Immune"" (red, 26) and ""Medications"" (purple, 29). Some slices have labels inside the segments, and the chart includes a legend correlating to the colors and categories. The segments appear to be ordered in descending size, but none of the slices are visually emphasized such as being exploded or offset."
044_2504.15784v1_Automated Creativity Evaluation for Large Language Models A   Reference-Based Approach.pdf,044_2504.15784v1_Figure1.png,Distribution of TTCW test scores across different models. The dashed lines indicate the average number of tests passed by each model.,Bar Chart,"The bar charts represent the number of stories that passed a certain threshold, labeled as ""#TTCW passed,"" for different categories. Each sub-chart is aligned horizontally, with the category axis, labeled as ""#TTCW passed,"" displayed horizontally, ranging from 0 to 14 with integer increments. The vertical value axis is labeled ""# Stories,"" ranging linearly from 0 to 12 with integer tick intervals. In the first chart, the bars are shaded in light pink and labeled ""GPT3.5,"" with values primarily at the 0 position and a shorter bar at 2, marked by an average line at approximately 0.33. The second chart features light orange bars labeled ""GPT4,"" with the tallest bars around 3 and 4, and a shorter bar at 7, averaging around 2.67. The third chart has light green bars labeled ""Claude V1.3,"" peaking at 3 and 4, with some presence at 8, averaging around 3.25. The fourth chart, with light purple bars labeled ""NewYorker,"" shows a significant bar at 13 and a shorter one at 11, averaging around 12.75. Each chart includes a vertical dashed line indicating the average value for that model. The bars within each chart are not sorted in any specific order beyond numerical progression along the category axis, and no bars are visually emphasized beyond the coloring and average lines."
044_2504.15784v1_Automated Creativity Evaluation for Large Language Models A   Reference-Based Approach.pdf,044_2504.15784v1_Figure5.png,Spearman correlation performance under different cutoff scores.,Line Plot,"The plot illustrates the performance of different models under varying cutoff scores, represented by the Spearman Correlation. The x-axis is labeled ""Cutoff Score,"" uses a linear scale, and ranges from -3.0 to 0.0 with tick marks spaced at intervals of 0.5. The y-axis is labeled ""Spearman Correlation,"" also uses a linear scale, and ranges from -0.1 to 0.5 with tick marks at intervals of 0.1. Six lines are present in the plot: a solid blue line with circle markers labeled ""Qwen,"" showing values at or below 0.0 across the x-axis; a dashed cyan line with square markers labeled ""Qwen-Ours,"" starting at 0.2 at -3.0, declining to 0.1 at -1.5, and increasing to 0.2 at 0.0; a solid green line with circle markers labeled ""GPT-4o,"" consistently at 0.2 throughout; a dashed green line with square markers labeled ""GPT-4o-Ours,"" peaking at 0.4 at -2.0 and decreasing to 0.3 at 0.0; a solid red line with circle markers labeled ""Claude 3.5,"" remaining at 0.1 across the x-axis; and a dashed orange line with square markers labeled ""Claude 3.5-Ours,"" peaking at 0.5 at -2.0, showing a descending trend to 0.3 by 0.0."
